Product_Name,Customer_Name,date_time,Price_Product,Customer_email,Name_cashier,mobile_number,Transportation_fare,amount_discount,Amount_received
Lettuce - Lambs Mash,Bernhard,12/18/2023,$2.36 ,gvalentinetti4z@so-net.ne.jp,Goldina,685-815-0257,$3.08 ,$9.95 ,$6.34 
Tea - Honey Green Tea,Annissa,7/22/2023,$2.47 ,bteaz50@quantcast.com,Brendon,980-744-9788,$5.18 ,$0.77 ,$3.31 
Pork Ham Prager,Tobe,3/23/2023,$1.77 ,aleason51@globo.com,Artemas,901-409-8952,$2.03 ,$8.85 ,$2.66 
Anchovy Fillets,Shepherd,11/16/2023,$2.52 ,ipietrzak52@theatlantic.com,Ilsa,733-165-9286,$2.13 ,$7.16 ,$4.27 
Flavouring - Orange,Clarita,5/8/2023,$3.16 ,jcocozza53@ezinearticles.com,Julius,732-298-8100,$2.72 ,$6.61 ,$0.36 
"Pork - Butt, Boneless",Sophronia,7/9/2023,$5.01 ,bburhouse54@xinhuanet.com,Baxy,992-614-4688,$0.03 ,$0.56 ,$2.80 
Chinese Foods - Chicken,Sheila-kathryn,5/28/2023,$3.03 ,eallaway55@walmart.com,Emmye,835-648-0269,$3.29 ,$0.46 ,$1.87 
Spic And Span All Purpose,Jason,5/3/2023,$7.64 ,dmcdougal56@forbes.com,De,464-610-7571,$2.27 ,$8.22 ,$1.52 
"Cheese - Brie, Triple Creme",Suzann,9/30/2023,$9.82 ,dmalafe57@shareasale.com,Darci,913-316-7766,$6.45 ,$5.07 ,$1.87 
"Beef - Rouladin, Sliced",Annmarie,9/10/2023,$0.15 ,mzettoi58@nytimes.com,Moyna,110-251-3078,$8.86 ,$1.61 ,$8.48 
"Stock - Veal, Brown",Nobe,11/26/2023,$3.03 ,ffeast59@hud.gov,Findley,198-783-2231,$9.95 ,$2.12 ,$7.33 
Table Cloth 62x120 Colour,Rois,9/13/2023,$5.01 ,sitzkin5a@moonfruit.com,Selle,808-431-2102,$6.56 ,$6.73 ,$1.49 
"Wine - White, Ej",Mitchael,5/29/2023,$4.43 ,probertis5b@earthlink.net,Pepita,668-497-3305,$7.39 ,$1.29 ,$6.49 
Lid Tray - 16in Dome,Lilla,8/31/2023,$6.22 ,lmallabund5c@artisteer.com,Lewiss,438-816-5953,$8.89 ,$7.77 ,$6.61 
Lid - 3oz Med Rec,Kissiah,10/21/2023,$2.83 ,ninglefield5d@mlb.com,Noam,530-406-6643,$4.13 ,$5.14 ,$8.74 
Juice - Orange,Merv,11/4/2023,$5.95 ,alesmonde5e@npr.org,Adriane,693-964-2080,$7.51 ,$0.63 ,$5.21 
"Lamb - Whole, Fresh",Ashlen,10/23/2023,$2.20 ,mtripp5f@technorati.com,Milicent,790-610-4393,$4.43 ,$1.10 ,$7.58 
"Pasta - Cannelloni, Sheets, Fresh",Dulcia,3/26/2023,$1.57 ,aeydel5g@nps.gov,Ave,774-627-7595,$7.19 ,$1.81 ,$5.89 
Salmon - Fillets,Wilt,6/11/2023,$2.72 ,tclementson5h@home.pl,Theda,314-146-9963,$8.65 ,$1.50 ,$8.51 
Turnip - Mini,Cly,11/23/2023,$6.08 ,fhaberfield5i@tripadvisor.com,Fredi,677-461-4260,$8.45 ,$6.38 ,$0.47 
Beef - Texas Style Burger,Binny,6/23/2023,$2.60 ,rfollit5j@statcounter.com,Rozanne,786-511-2661,$6.76 ,$5.91 ,$2.23 
"Wine - White, Cooking",Frants,4/4/2023,$2.61 ,ogoreisr5k@netscape.com,Orsa,503-180-0015,$6.52 ,$8.82 ,$8.31 
Frangelico,Boote,3/27/2023,$7.41 ,ksambals5l@aol.com,Kanya,341-700-0446,$1.27 ,$1.38 ,$7.57 
Longos - Chicken Cordon Bleu,Rachele,7/3/2023,$6.65 ,htoppas5m@state.tx.us,Heddi,796-678-0442,$9.05 ,$8.69 ,$0.65 
Veal - Sweetbread,Roarke,1/10/2023,$1.12 ,dpattle5n@homestead.com,Dasie,279-413-9215,$8.58 ,$6.20 ,$1.09 
Beets - Mini Golden,Deonne,8/15/2023,$9.95 ,jabrahami5o@pinterest.com,Judon,299-106-9940,$3.35 ,$8.26 ,$7.57 
Glucose,Viviana,8/24/2023,$0.28 ,bluckhurst5p@pcworld.com,Brod,253-653-3158,$3.39 ,$3.78 ,$3.74 
Tomatoes - Heirloom,Maje,3/27/2023,$7.80 ,atunaclift5q@digg.com,Arny,922-916-0280,$7.57 ,$3.74 ,$5.85 
"Turkey - Breast, Boneless Sk On",Kamillah,11/7/2023,$6.10 ,fpeaple5r@infoseek.co.jp,Felipa,335-301-6792,$8.44 ,$9.92 ,$4.70 
Mikes Hard Lemonade,Avril,12/19/2023,$3.70 ,skobke5s@trellian.com,Sophey,796-525-1451,$6.61 ,$8.98 ,$9.27 
Amarula Cream,Emmy,11/26/2023,$2.42 ,rtoulch5t@liveinternet.ru,Rosabelle,581-255-7242,$5.14 ,$0.05 ,$3.36 
Snapple - Iced Tea Peach,Joli,12/28/2023,$4.43 ,tguiducci5u@reuters.com,Toddie,485-984-3352,$4.50 ,$9.88 ,$1.01 
Island Oasis - Mango Daiquiri,Alica,1/3/2023,$6.68 ,mcrimin5v@sitemeter.com,Millie,214-209-4713,$4.65 ,$3.23 ,$6.26 
"Bread - Multigrain, Loaf",Van,4/7/2023,$8.00 ,cmeineking5w@digg.com,Carmita,691-489-8007,$5.31 ,$4.23 ,$3.04 
Wine - Maipo Valle Cabernet,Lynett,12/20/2023,$2.20 ,kpoluzzi5x@livejournal.com,Kim,765-138-0750,$6.02 ,$1.48 ,$4.75 
Tomatoes - Orange,Kelci,9/23/2023,$2.56 ,hshapira5y@craigslist.org,Hamel,941-337-6990,$5.82 ,$4.25 ,$4.48 
"Yogurt - Cherry, 175 Gr",Fidole,4/17/2023,$3.08 ,vurian5z@usgs.gov,Valencia,641-297-2366,$4.32 ,$6.78 ,$9.13 
Burger Veggie,Vicky,7/24/2023,$9.35 ,emattisssen60@yahoo.com,Ettie,864-398-7190,$8.83 ,$3.06 ,$1.56 
Assorted Desserts,Dix,7/23/2023,$0.26 ,wlyptrade61@de.vu,Wilow,875-952-0793,$3.43 ,$1.15 ,$0.60 
Water - Perrier,Bran,11/16/2023,$7.04 ,agisburne62@bigcartel.com,Ardene,690-688-4648,$2.87 ,$2.86 ,$9.56 
Beer - Heinekin,Maryanna,4/23/2023,$4.79 ,wmumm63@senate.gov,Westley,182-720-1178,$3.44 ,$4.45 ,$7.48 
Wine - Taylors Reserve,Neale,8/5/2023,$3.09 ,pdrohane64@google.cn,Padget,809-814-6973,$0.45 ,$7.81 ,$5.57 
Muffin Hinge 117n,Cobb,5/10/2023,$0.00 ,gvanyashkin65@umich.edu,Gabbie,147-621-8486,$3.99 ,$3.06 ,$7.20 
Beans - Yellow,Niven,9/17/2023,$7.16 ,pbabbs66@netvibes.com,Pepi,680-311-6044,$9.84 ,$6.94 ,$2.38 
Chicken - Base,Ethelda,3/31/2023,$1.85 ,aarmistead67@diigo.com,Alphard,721-638-3615,$7.37 ,$6.61 ,$0.52 
Sugar - Icing,Ash,6/18/2023,$3.00 ,vjellicorse68@pcworld.com,Vyky,869-287-8303,$0.16 ,$8.61 ,$0.96 
Pepper - Green Thai,Jimmie,6/1/2023,$9.94 ,pgrishenkov69@smugmug.com,Parrnell,370-322-6379,$9.31 ,$0.67 ,$5.54 
Tofu - Soft,Guthrie,9/25/2023,$9.84 ,sambler6a@parallels.com,Shalna,586-231-1125,$7.24 ,$3.98 ,$0.10 
Cake - Night And Day Choclate,Putnam,4/18/2023,$5.41 ,pleatherbarrow6b@cmu.edu,Philippa,348-842-1967,$3.32 ,$1.01 ,$4.20 
Zucchini - Green,Mason,4/9/2023,$7.38 ,tranger6c@slate.com,Tanya,580-791-2885,$7.82 ,$7.12 ,$2.13 
"Lemonade - Kiwi, 591 Ml",Pryce,2/19/2023,$4.65 ,bfrobisher6d@wikimedia.org,Birdie,721-947-3793,$4.04 ,$7.95 ,$9.99 
"Lamb - Pieces, Diced",Lorena,11/11/2023,$7.63 ,kjaffray6e@google.ca,Kim,775-821-3851,$4.43 ,$2.49 ,$2.56 
Russian Prince,Trever,12/10/2023,$3.82 ,jmengue6f@businessinsider.com,Jessie,869-931-1464,$5.47 ,$9.02 ,$7.04 
"Stock - Beef, Brown",Cathie,4/8/2023,$4.42 ,mbrainsby6g@elegantthemes.com,Marietta,911-948-9049,$0.88 ,$8.92 ,$9.26 
Wine - Fume Blanc Fetzer,Massimiliano,5/31/2023,$8.40 ,scursey6h@archive.org,Sherlocke,274-313-0232,$7.10 ,$4.90 ,$8.94 
Cassis,Roosevelt,11/12/2023,$0.94 ,freadett6i@ibm.com,Fidelio,605-266-7098,$0.44 ,$7.55 ,$4.36 
Oregano - Fresh,Nikki,11/6/2023,$7.18 ,dcoady6j@jimdo.com,Dilly,897-302-3379,$9.84 ,$5.26 ,$6.31 
Milk - Chocolate 500ml,Park,3/12/2023,$1.35 ,ctrenfield6k@wisc.edu,Cody,873-472-8032,$1.06 ,$9.10 ,$4.40 
Tea - Vanilla Chai,Nappy,10/9/2023,$0.79 ,gwyllis6l@biblegateway.com,Ganny,720-555-6604,$3.09 ,$7.84 ,$2.07 
"Wine - Red, Black Opal Shiraz",Bevon,8/10/2023,$4.95 ,aoboy6m@prnewswire.com,Andi,915-255-3324,$5.08 ,$9.22 ,$1.42 
Anchovy Fillets,Cordelie,8/19/2023,$6.44 ,mmacalees6n@uol.com.br,Marys,152-107-5252,$3.50 ,$5.97 ,$1.77 
Muffin Mix - Chocolate Chip,Nedda,8/19/2023,$0.23 ,ewhysall6o@berkeley.edu,Ediva,735-423-3662,$1.75 ,$9.35 ,$7.58 
Dc - Frozen Momji,Sadella,1/4/2023,$6.75 ,adonise6p@google.cn,Aggie,492-242-2739,$0.78 ,$7.78 ,$9.41 
Oil - Hazelnut,Dione,1/1/2024,$3.10 ,nperes6q@dropbox.com,Nat,207-302-4565,$4.59 ,$6.88 ,$9.98 
"Rum - Spiced, Captain Morgan",Fredra,1/27/2023,$7.00 ,tpaternoster6r@list-manage.com,Tony,439-105-2337,$1.33 ,$8.07 ,$7.95 
Beef - Striploin Aa,Clary,8/24/2023,$5.34 ,gperone6s@blogs.com,Grenville,324-207-5391,$6.56 ,$2.66 ,$9.51 
Chips - Doritos,Cherye,2/8/2023,$4.01 ,pfenich6t@wiley.com,Pen,318-741-5499,$5.42 ,$9.89 ,$7.18 
"Apple - Delicious, Red",Theodore,1/10/2023,$7.78 ,bmixhel6u@japanpost.jp,Bing,413-374-6508,$5.74 ,$3.11 ,$2.52 
Pork - Kidney,Guglielma,8/14/2023,$5.00 ,ofilkov6v@wikia.com,Otto,256-443-7090,$1.41 ,$2.87 ,$5.32 
Chick Peas - Dried,Appolonia,8/10/2023,$9.09 ,llouiset6w@weibo.com,Livia,964-727-1728,$5.40 ,$2.97 ,$3.28 
Sauce Tomato Pouch,Reece,3/21/2023,$1.04 ,docridigan6x@mediafire.com,Darla,630-827-3421,$3.40 ,$8.22 ,$3.29 
Lettuce - Sea / Sea Asparagus,Lawry,11/12/2023,$3.55 ,mrichardot6y@wikispaces.com,Micah,176-387-1649,$1.50 ,$8.80 ,$9.35 
Sword Pick Asst,Jenine,3/15/2023,$1.08 ,msilverton6z@1und1.de,Marinna,683-856-4024,$3.26 ,$1.31 ,$5.34 
"Pasta - Rotini, Dry",Gordie,12/15/2023,$2.02 ,vwillars70@indiatimes.com,Vernon,125-331-5367,$4.12 ,$3.06 ,$1.00 
"Shrimp - 16/20, Iqf, Shell On",Levi,5/4/2023,$3.63 ,sfoxall71@springer.com,Sam,522-795-8807,$5.05 ,$8.99 ,$7.77 
"Liners - Banana, Paper",Garik,7/28/2023,$0.99 ,cmacshirrie72@aol.com,Chiquia,415-316-0331,$6.45 ,$0.43 ,$6.76 
Longos - Grilled Salmon With Bbq,Aurie,8/22/2023,$1.45 ,airedell73@opera.com,Allx,624-735-1876,$7.16 ,$8.35 ,$9.33 
Tea Peppermint,Fredi,7/24/2023,$8.92 ,gstorr74@ox.ac.uk,Geneva,468-618-1924,$1.88 ,$3.00 ,$7.41 
Capers - Pickled,Marcelia,3/17/2023,$7.78 ,ckinnerk75@dropbox.com,Carey,886-930-0183,$3.65 ,$5.07 ,$5.75 
Breakfast Quesadillas,Abbye,2/14/2023,$2.85 ,cmonnoyer76@linkedin.com,Cicily,835-498-5551,$7.09 ,$9.24 ,$6.54 
Beef - Top Butt Aaa,Allyn,5/7/2023,$6.63 ,bulrik77@tamu.edu,Brig,505-995-3688,$7.18 ,$5.20 ,$7.75 
Trout Rainbow Whole,Reade,9/2/2023,$9.72 ,aclifft78@sphinn.com,Ario,170-502-5630,$3.76 ,$9.96 ,$3.32 
Truffle - Peelings,Isahella,6/6/2023,$2.58 ,ewheelton79@google.com.br,Evelyn,775-151-3482,$7.91 ,$0.91 ,$3.36 
Milk Powder,Calli,9/7/2023,$6.19 ,bperren7a@miitbeian.gov.cn,Beilul,914-318-2859,$2.56 ,$6.18 ,$7.50 
Oregano - Fresh,Georgetta,5/4/2023,$8.49 ,bgymblett7b@goo.gl,Boyd,945-445-3860,$6.09 ,$8.94 ,$7.25 
"Roe - Lump Fish, Black",Ransell,9/22/2023,$7.46 ,rbeddin7c@yellowpages.com,Roland,461-264-1244,$3.47 ,$5.73 ,$7.63 
Wine - Riesling Alsace Ac 2001,Lydie,6/11/2023,$1.95 ,tfranzolini7d@123-reg.co.uk,Tadd,971-939-0848,$0.37 ,$0.89 ,$6.49 
"Mushroom - Enoki, Dry",Prentiss,10/19/2023,$4.32 ,kvicker7e@oracle.com,Kathryne,602-634-8809,$0.18 ,$4.90 ,$9.85 
Chocolate - Unsweetened,Jamey,8/19/2023,$2.79 ,lcaro7f@latimes.com,Leslie,345-190-0889,$0.41 ,$3.13 ,$0.84 
Soup Campbells - Tomato Bisque,Andros,10/22/2023,$6.08 ,mlandman7g@flavors.me,Matilde,107-849-5413,$6.03 ,$2.15 ,$8.45 
Wine - Chenin Blanc K.w.v.,Lindon,12/11/2023,$6.96 ,fdarter7h@blog.com,Fenelia,664-602-0559,$0.74 ,$7.69 ,$7.60 
Baking Powder,Yuri,10/9/2023,$9.62 ,dsertin7i@twitpic.com,Debor,865-310-4105,$0.15 ,$9.32 ,$5.30 
Aromat Spice / Seasoning,Gil,1/9/2023,$5.71 ,amahaddie7j@histats.com,Aarika,415-635-2566,$8.80 ,$2.63 ,$6.62 
Glaze - Clear,Wallache,12/25/2023,$1.90 ,msemiraz7k@pcworld.com,Markos,472-824-9216,$7.64 ,$6.87 ,$4.19 
"Pasta - Fettuccine, Egg, Fresh",Consalve,12/26/2023,$5.25 ,abussens7l@dyndns.org,Aubrey,704-399-4677,$8.57 ,$8.04 ,$3.54 
Strawberries,Ulrikaumeko,5/10/2023,$4.24 ,vcargen7m@creativecommons.org,Vita,447-316-9099,$8.84 ,$3.96 ,$0.05 
"Tray - Foam, Square 4 - S",Mil,2/7/2023,$3.50 ,fphoebe7n@1und1.de,Flori,746-836-6130,$7.30 ,$6.26 ,$2.75 
"Pasta - Canelloni, Single Serve",Dorthy,11/7/2023,$6.51 ,nestcot7o@bluehost.com,Nikolai,680-567-3701,$2.73 ,$9.98 ,$4.60 
Sprouts - Brussel,Catlin,10/25/2023,$0.26 ,mkerrey7p@e-recht24.de,Marsh,625-220-1820,$3.79 ,$3.35 ,$2.75 
Assorted Desserts,Russ,1/29/2023,$1.71 ,kshinton7q@eventbrite.com,Kali,728-232-3252,$7.77 ,$1.90 ,$6.11 
Cake - Mini Potato Pancake,Celene,6/4/2023,$3.96 ,chabbin7r@bbc.co.uk,Christiano,348-476-9013,$0.60 ,$4.83 ,$5.72 
Pickle - Dill,Gwenni,1/22/2023,$9.25 ,cbetser7s@amazonaws.com,Candra,561-382-6161,$0.40 ,$6.58 ,$0.48 
Containter - 3oz Microwave Rect.,Auguste,6/21/2023,$2.81 ,adoley7t@nsw.gov.au,Arie,752-715-8841,$8.11 ,$0.39 ,$9.63 
"Pasta - Lasagna, Dry",Leanor,4/1/2023,$0.05 ,adanneil7u@scientificamerican.com,Ag,967-569-3485,$0.54 ,$9.47 ,$8.21 
Wine - Masi Valpolocell,Meredith,11/15/2023,$3.23 ,cgoodlud7v@fema.gov,Corinne,383-444-6064,$5.87 ,$4.80 ,$9.36 
"Juice - Apple, 1.36l",Hertha,4/9/2023,$8.73 ,ssketh7w@yolasite.com,Sebastian,796-869-9417,$3.63 ,$1.37 ,$1.58 
Dc - Sakura Fu,Shamus,4/24/2023,$9.40 ,bungerecht7x@hud.gov,Blondelle,249-275-0359,$0.37 ,$9.68 ,$7.01 
Cactus Pads,Theodosia,2/18/2023,$7.32 ,bpelerin7y@alibaba.com,Brigida,852-761-0941,$9.53 ,$4.40 ,$7.82 
Bread Cranberry Foccacia,Charleen,10/22/2023,$1.59 ,arumbelow7z@livejournal.com,Abbot,466-836-3854,$0.01 ,$5.00 ,$5.30 
Tofu - Soft,James,5/4/2023,$1.71 ,handrini80@geocities.jp,Halimeda,218-835-2182,$3.65 ,$0.71 ,$9.76 
Beer - Pilsner Urquell,Bonni,3/31/2023,$1.81 ,chealings81@yolasite.com,Cortney,812-719-6227,$2.02 ,$8.11 ,$8.06 
"Doilies - 10, Paper",Lesley,8/1/2023,$3.58 ,lcreech82@netvibes.com,Lillis,416-612-3243,$4.68 ,$2.55 ,$7.81 
Wine - Penfolds Koonuga Hill,Boyd,5/13/2023,$9.17 ,pmullin83@over-blog.com,Pearla,285-188-6434,$0.85 ,$0.68 ,$1.40 
Cactus Pads,Tomi,6/7/2023,$4.55 ,drisebarer84@yahoo.com,Dud,120-696-9632,$3.06 ,$9.12 ,$2.51 
Flour - Pastry,Chance,1/14/2023,$4.87 ,fgoolding85@netvibes.com,Farra,179-996-6693,$6.37 ,$5.72 ,$0.11 
"Water - Mineral, Natural",Costa,1/17/2023,$6.50 ,gbrotherick86@zimbio.com,Giraud,864-834-7538,$4.94 ,$1.31 ,$4.58 
Laundry - Bag Cloth,Jessamine,2/3/2023,$3.02 ,tnovelli87@free.fr,Teodora,590-925-1495,$6.32 ,$0.77 ,$9.72 
Plums - Red,Martie,6/20/2023,$3.25 ,chickinbottom88@macromedia.com,Callean,985-830-7505,$6.07 ,$6.99 ,$6.56 
"Mushroom - Shitake, Dry",Cly,10/19/2023,$6.24 ,gklemke89@yellowpages.com,Giusto,308-526-0222,$7.99 ,$1.62 ,$9.88 
"Lamb - Leg, Bone In",Jeri,6/17/2023,$8.81 ,lwalbrun8a@phoca.cz,Lanita,406-962-6997,$3.17 ,$8.90 ,$8.72 
"Beef - Ground, Extra Lean, Fresh",Tobe,3/14/2023,$8.97 ,rokielt8b@yahoo.co.jp,Ros,545-384-9828,$8.93 ,$6.36 ,$0.80 
"Wine - Red, Gallo, Merlot",Kial,10/28/2023,$1.50 ,hmarlowe8c@sphinn.com,Henry,939-939-3766,$5.88 ,$2.81 ,$5.18 
"Wine - Magnotta - Red, Baco",Rudolfo,3/2/2023,$8.05 ,ebehan8d@mapy.cz,Eadie,520-856-4730,$8.56 ,$4.92 ,$7.50 
Wine - Chardonnay South,Brig,3/27/2023,$4.11 ,bjiracek8e@go.com,Buck,700-802-3806,$9.42 ,$1.65 ,$4.98 
Ecolab - Mikroklene 4/4 L,Siusan,8/25/2023,$3.12 ,gredish8f@oakley.com,Glyn,141-794-6772,$8.42 ,$6.33 ,$9.79 
Wine - Taylors Reserve,Kally,6/20/2023,$2.60 ,skharchinski8g@edublogs.org,Sula,297-563-1310,$9.38 ,$7.81 ,$1.90 
Spring Roll Wrappers,Myrlene,6/8/2023,$8.95 ,bcarmody8h@yellowbook.com,Berna,981-615-9538,$7.72 ,$5.77 ,$5.32 
"Beef - Roasted, Cooked",Alfreda,8/2/2023,$4.06 ,agiacubbo8i@globo.com,Aime,438-793-3104,$6.95 ,$3.31 ,$7.97 
Bread - 10 Grain Parisian,Langston,4/8/2023,$4.91 ,srolance8j@cocolog-nifty.com,Sandy,255-464-3859,$3.79 ,$5.27 ,$8.38 
Energy Drink Red Bull,Mohandis,9/20/2023,$8.99 ,snorcock8k@hugedomains.com,Sybyl,614-777-5250,$0.50 ,$3.36 ,$5.86 
Soup Knorr Chili With Beans,Nikki,4/24/2023,$4.83 ,cribey8l@cyberchimps.com,Caroljean,124-759-3995,$9.84 ,$3.22 ,$9.79 
Table Cloth 62x114 White,Sheba,4/16/2023,$9.28 ,emerrisson8m@eepurl.com,Emmalee,361-732-8144,$2.11 ,$8.04 ,$8.54 
Beer - Molson Excel,Waldemar,2/2/2023,$5.84 ,hcockerton8n@unesco.org,Hendrick,368-315-3155,$0.05 ,$9.39 ,$6.71 
Wine - Lou Black Shiraz,Madonna,2/8/2023,$3.80 ,scremer8o@ifeng.com,Shena,784-394-9086,$6.39 ,$7.50 ,$3.68 
Sobe - Lizard Fuel,Audrie,1/11/2023,$3.99 ,jcumberledge8p@miibeian.gov.cn,Jamey,534-446-5655,$5.37 ,$5.38 ,$0.74 
Wine - Domaine Boyar Royal,Rodney,4/11/2023,$6.10 ,sbohlens8q@nba.com,Shandra,941-517-2193,$9.55 ,$5.36 ,$8.19 
"Wine - Red, Gamay Noir",Pattin,4/10/2023,$6.16 ,hlighton8r@archive.org,Heinrick,911-790-3297,$2.02 ,$0.57 ,$4.27 
Coffee - 10oz Cup 92961,Deloria,2/28/2023,$8.78 ,jtrenbay8s@epa.gov,Joaquin,557-371-4208,$7.93 ,$9.03 ,$4.05 
"Brownies - Two Bite, Chocolate",Valentine,9/17/2023,$6.28 ,jmaciver8t@1688.com,Jorey,326-186-7257,$1.69 ,$7.63 ,$8.33 
Beef - Flank Steak,Ringo,1/29/2023,$3.26 ,poakenfall8u@mapquest.com,Patty,649-527-3239,$5.32 ,$3.06 ,$9.70 
Cumin - Whole,Mignonne,10/17/2023,$8.47 ,kcharte8v@japanpost.jp,Kinny,468-738-7490,$3.12 ,$0.95 ,$4.67 
Bread - Triangle White,Cissy,5/13/2023,$2.35 ,mtydeman8w@fotki.com,Mabelle,290-533-7861,$4.47 ,$5.13 ,$4.60 
Soup - Campbells,Laural,11/17/2023,$0.11 ,gadamsky8x@accuweather.com,Gillian,676-693-3951,$7.28 ,$2.06 ,$6.11 
Bread Foccacia Whole,Vergil,7/10/2023,$0.92 ,aorr8y@icq.com,Anna,602-478-6205,$7.07 ,$4.15 ,$8.68 
"Salmon - Atlantic, Fresh, Whole",Quincy,4/18/2023,$9.81 ,dobrallaghan8z@w3.org,Dudley,509-243-8994,$6.53 ,$5.98 ,$7.74 
Milk Powder,Bjorn,11/5/2023,$7.78 ,ehartzenberg90@cdc.gov,Erinna,310-369-7643,$6.59 ,$8.79 ,$1.34 
Contreau,Sloane,8/15/2023,$2.60 ,ltyght91@upenn.edu,Libbi,155-539-0713,$8.50 ,$0.59 ,$5.08 
"Beans - Long, Chinese",Wendall,12/19/2023,$7.60 ,mkuhnel92@youku.com,Markus,133-656-9262,$4.09 ,$4.67 ,$5.01 
"Crab - Dungeness, Whole",Brennen,3/3/2023,$8.56 ,denden93@google.it,Deina,439-796-6048,$4.58 ,$9.05 ,$5.25 
Wine - Fino Tio Pepe Gonzalez,Parker,10/24/2023,$7.47 ,wdewhurst94@jugem.jp,Westley,733-484-0114,$3.59 ,$9.97 ,$5.34 
Squid - U - 10 Thailand,Neile,7/28/2023,$2.82 ,kshowt95@mail.ru,Kain,175-921-1127,$2.44 ,$1.83 ,$1.29 
Wine - Ej Gallo Sierra Valley,Maura,10/20/2023,$1.11 ,yfairlem96@diigo.com,Yance,195-554-4623,$6.08 ,$9.59 ,$9.56 
"Nut - Almond, Blanched, Whole",Nicolis,12/17/2023,$3.16 ,gcaen97@telegraph.co.uk,Gabbie,104-898-4187,$5.42 ,$7.86 ,$7.70 
Pur Value,Daveta,7/6/2023,$1.71 ,mgallanders98@phoca.cz,Melina,300-748-8520,$6.94 ,$9.70 ,$6.30 
Sea Urchin,Linc,1/20/2023,$5.08 ,ohauxwell99@salon.com,Olav,932-757-7923,$2.59 ,$0.86 ,$2.77 
"Turnip - White, Organic",Jillana,10/28/2023,$2.39 ,fparades9a@yahoo.com,Fiann,790-518-9531,$6.15 ,$4.67 ,$7.80 
"Soup - Campbells, Cream Of",Orlan,5/23/2023,$9.44 ,sginger9b@digg.com,Sari,650-160-4961,$4.63 ,$3.43 ,$6.87 
Cheese - Brick With Onion,Alicea,10/18/2023,$8.37 ,swagon9c@reference.com,Simone,910-704-2270,$5.20 ,$0.18 ,$3.04 
Cookie - Dough Variety,Myrvyn,12/26/2023,$4.02 ,emcclelland9d@usa.gov,Elane,121-438-6391,$9.77 ,$4.17 ,$7.19 
Pie Shells 10,Garrett,3/2/2023,$6.09 ,zsantino9e@homestead.com,Zebedee,380-817-2813,$3.50 ,$0.44 ,$6.33 
Soy Protein,Paton,12/31/2023,$2.22 ,fleopold9f@bbc.co.uk,Fenelia,183-249-9690,$9.67 ,$6.41 ,$6.76 
Wine - Chateau Bonnet,Twyla,9/24/2023,$5.94 ,balston9g@shareasale.com,Buddie,493-797-9660,$8.54 ,$0.28 ,$7.69 
"Lettuce - Romaine, Heart",Lazarus,8/24/2023,$9.65 ,vseniour9h@weebly.com,Vina,809-417-7119,$1.70 ,$2.70 ,$3.92 
Beef - Tender Tips,Cyndy,1/14/2023,$7.19 ,tentissle9i@creativecommons.org,Tull,896-299-2644,$7.02 ,$0.00 ,$9.20 
Wine - Merlot Vina Carmen,Prudi,3/13/2023,$9.91 ,aspykings9j@last.fm,Auberta,984-263-4013,$5.05 ,$2.15 ,$3.44 
Vector Energy Bar,Dulcea,10/5/2023,$9.30 ,nleupoldt9k@vistaprint.com,Neal,606-348-7218,$9.76 ,$5.41 ,$3.52 
Chips - Potato Jalapeno,Cari,10/20/2023,$4.84 ,ylatch9l@amazon.co.jp,Yolande,149-372-6642,$2.12 ,$7.94 ,$2.71 
Turkey - Ground. Lean,Hamilton,10/28/2023,$6.32 ,pcorse9m@scientificamerican.com,Pepita,943-673-3067,$0.81 ,$7.78 ,$2.94 
Napkin - Beverage 1 Ply,Galen,6/7/2023,$1.40 ,ukondrat9n@acquirethisname.com,Uriel,515-799-7881,$9.67 ,$0.87 ,$0.67 
Mushroom - Porcini Frozen,Waiter,4/8/2023,$4.23 ,episco9o@dropbox.com,Emmott,603-758-3075,$9.94 ,$8.83 ,$8.76 
"Iced Tea - Lemon, 460 Ml",Lavena,1/31/2023,$7.52 ,ddenington9p@quantcast.com,Dasi,158-281-3234,$8.46 ,$7.48 ,$3.93 
Sobe - Green Tea,Peggie,3/2/2023,$8.13 ,charries9q@tripod.com,Curtis,436-497-0371,$3.26 ,$9.97 ,$2.35 
Raspberries - Frozen,Aleta,3/9/2023,$1.77 ,gkeenlayside9r@wordpress.org,Gail,330-445-9402,$0.31 ,$7.21 ,$2.98 
Spinach - Spinach Leaf,Crista,2/25/2023,$3.77 ,ckroger9s@moonfruit.com,Crystie,588-609-0792,$3.65 ,$1.47 ,$9.22 
Broom And Broom Rack White,Lexis,2/20/2023,$1.78 ,hgyngyll9t@blinklist.com,Howie,855-951-3674,$7.68 ,$4.57 ,$3.22 
Island Oasis - Lemonade,Michell,4/9/2023,$2.48 ,jscawen9u@wix.com,Jermaine,352-384-4141,$1.52 ,$6.33 ,$0.83 
Lady Fingers,Salomone,10/30/2023,$9.47 ,kdemangeot9v@woothemes.com,Ky,977-602-8889,$0.40 ,$6.22 ,$5.39 
Wine - Peller Estates Late,Aldwin,4/20/2023,$4.52 ,tnary9w@cyberchimps.com,Tabb,271-529-8111,$9.89 ,$0.45 ,$0.25 
